mag,z,vel,lum_dist
16.05,0.028488,8540,117.3
17.38,0.050043,15002,217.0
17.52,0.052926,15866,231.0
18.15,0.070086,21011,308.6
18.18,0.062668,18787,313.8
18.93,0.087589,26258,442.4
18.19,0.078577,23556,314.5
15.35,0.017227,5164,85.29
17.04,0.042233,12661,185.1
17.34,0.045295,13579,212.8
16.61,0.03648,10936,151.7
15.29,0.019599,5875,82.61
19.16,0.100915,30253,491.3
15.79,0.027342,8196,104.0
18.29,0.074605,22366,329.3
16.18,0.026489,7941,124.8
17.27,0.049922,14966,205.8
16.25,0.030604,9174,128.8
14.74,0.016345641,4900,64.39
14.64,0.0154363,4627,61.4
16.3,0.030529,9152,131.8
15.76,0.024525,7352,102.7
15.67,0.023953,7180,98.57
16.07,0.026038,7805,118.4
17.43,0.048948,14674,222.0
15.81,0.024314,7289,105.2
14.8,0.015166,4546,66.12
16.66,0.03572,10708,155.6
17.08,0.048818,14635,189.0
15.55,0.0219800059146,6589,93.45
19.74,0.1244,37294,644.1
16.52,0.036,10792,145.9
14.72,0.016321,4892,63.6
14.93,0.01673,5015,70.03
16.35,0.0275,8244,134.9
15.67,0.021793,6533,98.8
14.88,0.01645,4931,68.59
15.79,0.023208,6957,104.0
16.83,0.036457,10929,168.6
15.65,0.019264,5775,97.84
15.04,0.017605,5277,73.92
16.43,0.031528,9451,139.9
15.87,0.023536,7055,108.1
14.7,0.016743,5019,63.18
17.18,0.05371,16101,197.4
15.08,0.016991,5093,75.12
15.79,0.027865,8353,104.4
14.96,0.017173,5148,71.14
16.67,0.029955,8980,156.5
15.04,0.016559,4964,73.92
14.86,0.015,4496,68.03
17.65,0.0544,16308,246.0
19.93,0.1561,46797,701.2
17.03,0.0393,11781,184.9
19.52,0.1241,37204,581.3
19.54,0.1441,43200,585.1
19.68,0.1299,38943,624.9
18.38,0.0784,23503,343.9
17.73,0.0583,17477,255.0
16.63,0.0309,9263,153.4
17.07,0.0406,12171,187.6
14.72,0.0152,4556,63.59
15.65,0.0224,6715,97.59
14.87,0.016,4796,68.36
16.69,0.0362,10852,157.5
14.95,0.0173,5186,70.79
16.33,0.0312,9353,133.5
15.61,0.0221,6625,96.01
14.52,0.016,4796,58.2
15.5,0.0249,7464,91.36
16.33,0.0303,9083,133.6
16.22,0.0283,8484,127.1
14.96,0.0152,4556,71.07
16.68,0.0345,10342,156.9
16.38,0.036,10792,136.7
15.96,0.0248,7434,112.5
16.69,0.0292,8753,157.9
15.15,0.0163,4886,77.74
15.75,0.0187,5606,102.2
15.46,0.0195,5845,89.41
16.38,0.0256,7674,137.1
16.54,0.0337,10103,147.5
17.31,0.0546,16368,209.9
15.88,0.024,7195,108.5
16.71,0.0336,10073,158.9
16.54,0.0341,10222,147.4
16.06,0.0261,7824,118.1
15.36,0.0211,6325,85.53
16.6,0.0321,9623,151.1
15.62,0.0221,6625,96.48
16.58,0.0334,10013,150.0
16.64,0.0341,10222,154.4
17.1,0.0421,12621,190.6
17.78,0.0576,17268,260.6
15.32,0.0205,6145,83.84
17.07,0.0402,12051,188.3
16.08,0.026,7794,119.2
16.12,0.0259,7764,121.1
15.73,0.0239,7165,101.6
18.27,0.069,20685,326.0
18.01,0.0651,19516,289.3
15.9,0.0229,6865,109.5
16.35,0.0315,9443,135.0
15.63,0.0215,6445,96.95
16.42,0.0255,7644,139.3
16.51,0.0325,9743,145.4
18.75,0.0843,25272,407.7
16.33,0.0308,9233,133.6
16.79,0.0327,9803,165.5
17.09,0.0423,12681,189.9
18.43,0.0684,20505,351.8
15.41,0.0153,4586,87.39
15.58,0.0233,6985,94.72
17.43,0.0491,14719,221.8
16.63,0.0425,12741,153.3
15.44,0.0192,5756,88.58
16.48,0.0308,9233,143.2
